partner_id,partner_name,city,vehicle_type,experience_years
P_01,Amit Sharma,Mumbai,Bike,5
P_02,Rahul Verma,Bangalore,Bike,3
P_03,Neha Singh,Pune,Scooter,2
P_04,Pooja Mehta,Hyderabad,Scooter,2
P_05,Rohit Kumar,Mumbai,Scooter,5
P_06,Sanjay Patel,Mumbai,Cycle,1
P_07,Ankit Jain,Pune,Bike,4
P_08,Kunal Shah,Delhi,Cycle,4
P_09,Amit Sharma,Hyderabad,Scooter,4
P_10,Rahul Verma,Mumbai,Cycle,3
P_11,Neha Singh,Hyderabad,Bike,4
P_12,Pooja Mehta,Mumbai,Bike,2
P_13,Rohit Kumar,Hyderabad,Scooter,3
P_14,Sanjay Patel,Bangalore,Scooter,0
P_15,Ankit Jain,Mumbai,Cycle,4
P_16,Kunal Shah,Hyderabad,Scooter,4
P_17,Amit Sharma,Delhi,Scooter,0
P_18,Rahul Verma,Bangalore,Bike,4
P_19,Neha Singh,Bangalore,Scooter,0
P_20,Pooja Mehta,Delhi,Scooter,3
P_21,Rohit Kumar,Hyderabad,Bike,2
P_22,Sanjay Patel,Pune,Bike,0
P_23,Ankit Jain,Delhi,Cycle,1
P_24,Kunal Shah,Hyderabad,Scooter,0
P_25,Amit Sharma,Delhi,Bike,4
P_26,Rahul Verma,Delhi,Cycle,3
P_27,Neha Singh,Mumbai,Cycle,5
P_28,Pooja Mehta,Hyderabad,Scooter,3
P_29,Rohit Kumar,Pune,Scooter,5
P_30,Sanjay Patel,Mumbai,Cycle,0
P_31,Ankit Jain,Delhi,Bike,2
P_32,Kunal Shah,Delhi,Cycle,1
P_33,Amit Sharma,Delhi,Scooter,3
P_34,Rahul Verma,Hyderabad,Bike,4
P_35,Neha Singh,Hyderabad,Bike,5
P_36,Pooja Mehta,Mumbai,Cycle,4
P_37,Rohit Kumar,Pune,Scooter,2
P_38,Sanjay Patel,Mumbai,Cycle,5
P_39,Ankit Jain,Bangalore,Cycle,3
P_40,Kunal Shah,Delhi,Cycle,0
P_41,Amit Sharma,Delhi,Bike,4
P_42,Rahul Verma,Delhi,Bike,2
P_43,Neha Singh,Mumbai,Scooter,3
P_44,Pooja Mehta,Mumbai,Scooter,3
P_45,Rohit Kumar,Delhi,Cycle,3
P_46,Sanjay Patel,Mumbai,Cycle,3
P_47,Ankit Jain,Hyderabad,Cycle,5
P_48,Kunal Shah,Hyderabad,Scooter,3
P_49,Amit Sharma,Mumbai,Bike,4
P_50,Rahul Verma,Delhi,Bike,2
P_51,Neha Singh,Mumbai,Cycle,5
P_52,Pooja Mehta,Mumbai,Cycle,3
P_53,Rohit Kumar,Mumbai,Cycle,1
P_54,Sanjay Patel,Bangalore,Cycle,1
P_55,Ankit Jain,Hyderabad,Scooter,2
P_56,Kunal Shah,Pune,Bike,0
P_57,Amit Sharma,Pune,Cycle,0
P_58,Rahul Verma,Bangalore,Scooter,5
P_59,Neha Singh,Mumbai,Cycle,5
P_60,Pooja Mehta,Bangalore,Cycle,5
P_61,Rohit Kumar,Bangalore,Bike,0
P_62,Sanjay Patel,Delhi,Cycle,1
P_63,Ankit Jain,Hyderabad,Bike,0
P_64,Kunal Shah,Pune,Bike,4
P_65,Amit Sharma,Mumbai,Bike,3
P_66,Rahul Verma,Pune,Scooter,5
P_67,Neha Singh,Pune,Scooter,1
P_68,Pooja Mehta,Hyderabad,Bike,2
P_69,Rohit Kumar,Pune,Cycle,2
P_70,Sanjay Patel,Pune,Bike,3
P_71,Ankit Jain,Bangalore,Cycle,1
P_72,Kunal Shah,Hyderabad,Bike,0
P_73,Amit Sharma,Delhi,Cycle,0
P_74,Rahul Verma,Mumbai,Scooter,4
P_75,Neha Singh,Pune,Cycle,4
P_76,Pooja Mehta,Mumbai,Bike,0
P_77,Rohit Kumar,Delhi,Scooter,2
P_78,Sanjay Patel,Mumbai,Cycle,5
P_79,Ankit Jain,Delhi,Cycle,2
P_80,Kunal Shah,Bangalore,Cycle,4
P_81,Amit Sharma,Pune,Cycle,3
P_82,Rahul Verma,Delhi,Cycle,0
P_83,Neha Singh,Mumbai,Scooter,4
P_84,Pooja Mehta,Pune,Scooter,4
P_85,Rohit Kumar,Bangalore,Scooter,5
P_86,Sanjay Patel,Pune,Scooter,0
P_87,Ankit Jain,Delhi,Bike,5
P_88,Kunal Shah,Bangalore,Scooter,0
P_89,Amit Sharma,Mumbai,Cycle,5
P_90,Rahul Verma,Bangalore,Cycle,2
P_91,Neha Singh,Bangalore,Scooter,3
P_92,Pooja Mehta,Hyderabad,Cycle,3
P_93,Rohit Kumar,Bangalore,Scooter,0
P_94,Sanjay Patel,Bangalore,Cycle,1
P_95,Ankit Jain,Pune,Bike,4
P_96,Kunal Shah,Mumbai,Bike,4
P_97,Amit Sharma,Pune,Scooter,0
P_98,Rahul Verma,Pune,Scooter,5
P_99,Neha Singh,Delhi,Scooter,1
P_100,Pooja Mehta,Pune,Cycle,2
P_101,Rohit Kumar,Hyderabad,Scooter,5
P_102,Sanjay Patel,Hyderabad,Bike,5
P_103,Ankit Jain,Delhi,Cycle,0
P_104,Kunal Shah,Mumbai,Scooter,0
P_105,Amit Sharma,Mumbai,Cycle,4
